mat_size,avg_skip_basic,avg_native,avg_skip_advanced,time_in_ns_crs
3,280,372,106,78
6,2217,1839,213,159
9,5990,5966,385,452
12,7276,13556,1386,422
15,12999,27688,3083,336
18,4118,4371,4233,409
21,6324,7039,6380,873
24,11653,10624,13096,1109
27,3564,15952,9062,682
30,4829,2647,6486,859
33,7861,3596,2726,473
36,8649,4352,3818,752
39,10492,6205,4409,800
42,12955,6956,3905,719
45,16539,8492,5729,852
48,20357,10335,12127,963
51,25035,11819,1381,1357
54,27245,14388,1529,1040
57,32873,16724,1680,2106
60,38335,19990,1834,1428
63,44525,22085,2071,1720
66,50029,27758,2609,1814
69,56871,31860,2225,1267
72,64145,36068,2489,904
75,74484,39733,2566,928
78,82773,46048,3132,1118
81,90670,51466,3335,1154
84,101898,57487,3346,1114
87,112654,64517,3825,1686
90,124707,70240,6394,1353
93,137623,78005,4575,1506
96,150723,81978,4768,1525
99,243770,95135,5555,2182
102,182552,105319,5497,1760
105,203002,112589,6432,1939
108,199068,124839,6376,1886
111,235008,132876,6662,1924
114,254494,149976,8393,2297
117,276576,159717,8043,2944
120,297089,166504,8588,2447
123,323402,277573,9250,2687
126,348605,196150,10133,2609
129,371778,209414,12024,3220
132,398077,225134,11506,3001
135,426743,234035,11537,2943
138,480001,254260,13284,3544
141,493838,324990,15482,5335
144,496798,283363,12230,2993
147,560765,310285,15676,3921
150,558119,321270,15190,3642
153,589335,313797,14679,3725
156,639141,446752,16245,3852
159,671630,543972,19229,4342
162,716551,426624,18165,4232
165,731333,433819,19605,4538
168,762140,420277,21192,6507
171,770551,431045,21531,4515
174,889505,605120,24711,5923
177,940538,504947,25800,5788
180,999960,533010,26494,5230
183,993148,558734,24727,5432
186,1120346,648228,26662,6808
189,1114672,610989,25469,5670
192,1126423,641668,31178,6713
195,1246366,709559,30965,7854
198,1277928,727289,32193,6848
201,1318958,774373,32168,6530
204,1316393,776389,35958,6976
207,1530064,1104314,44526,13694
210,1554689,1101856,38578,7408
213,1590076,903385,38738,8766
216,1604584,968816,45124,8174
219,1686224,1374069,43630,8364
222,1740956,1061174,43400,8282
225,1776122,1080597,41364,9722
228,1865367,1138112,46831,8797
231,1947481,1301435,45338,9316
234,2021782,1300997,47229,11918
237,2057444,1443698,54018,14750
240,2139775,1404839,50895,10086
243,2338063,1460632,51951,11500
246,2313164,1578829,58113,12450
249,2410478,1826712,64003,11992
