size,numbers_stored_crs,numbers_stored_standard
0,1,0
5,8,25
10,27,100
15,36,225
20,53,400
25,86,625
30,115,900
35,126,1225
40,159,1600
45,228,2025
50,255,2500
55,296,3025
60,329,3600
65,438,4225
70,501,4900
75,578,5625
80,619,6400
85,678,7225
90,731,8100
95,836,9025
100,815,10000
105,1034,11025
110,1037,12100
115,1174,13225
120,1247,14400
125,1388,15625
130,1439,16900
135,1550,18225
140,1635,19600
145,1860,21025
150,1931,22500
155,2078,24025
160,2145,25600
165,2282,27225
170,2425,28900
175,2608,30625
180,2773,32400
185,2950,34225
190,3071,36100
195,3236,38025
200,3475,40000
205,3500,42025
210,3851,44100
215,4008,46225
220,4205,48400
225,4172,50625
230,4459,52900
235,4590,55225
240,4941,57600
245,5182,60025
250,5327,62500
255,5434,65025
260,5605,67600
265,5920,70225
270,6211,72900
275,6378,75625
280,6397,78400
285,6666,81225
290,6945,84100
295,7218,87025
300,7623,90000
305,7824,93025
310,7947,96100
315,8094,99225
320,8671,102400
325,8766,105625
330,9053,108900
335,9348,112225
340,9869,115600
345,9692,119025
350,10091,122500
355,10396,126025
360,10625,129600
365,10980,133225
370,11175,136900
375,11636,140625
380,11905,144400
385,12192,148225
390,12527,152100
395,12764,156025
400,13175,160000
405,13862,164025
410,13943,168100
415,14000,172225
420,14591,176400
425,14900,180625
430,15549,184900
435,15694,189225
440,15993,193600
445,16016,198025
450,16441,202500
455,16926,207025
460,17519,211600
465,17742,216225
470,18029,220900
475,18764,225625
480,18911,230400
485,19334,235225
490,19335,240100
495,20236,245025
500,20663,250000
505,20738,255025
510,21329,260100
515,21644,265225
520,22179,270400
525,22548,275625
530,23171,280900
535,23538,286225
540,24083,291600
545,23966,297025
550,24911,302500
555,25174,308025
560,25727,313600
565,26642,319225
570,26123,324900
575,27054,330625
580,27283,336400
585,27858,342225
590,28197,348100
595,28770,354025
600,29673,360000
605,29660,366025
610,30255,372100
615,30654,378225
620,31759,384400
625,31798,390625
630,32485,396900
635,33140,403225
640,33429,409600
645,34104,416025
650,34569,422500
655,35170,429025
660,36009,435600
665,36258,442225
670,36253,448900
675,37360,455625
680,37227,462400
685,38422,469225
690,38999,476100
695,39396,483025
700,40139,490000
705,40236,497025
710,41241,504100
715,41530,511225
720,42855,518400
725,42360,525625
730,43623,532900
735,44150,540225
740,44461,547600
745,45206,555025
750,46139,562500
755,46832,570025
760,47061,577600
765,48044,585225
770,48263,592900
775,48736,600625
780,48997,608400
785,49770,616225
790,51225,624100
795,51340,632025
800,51627,640000
805,53320,648025
810,53321,656100
815,53938,664225
820,54737,672400
825,54932,680625
830,55907,688900
835,56374,697225
840,57173,705600
845,58134,714025
850,58505,722500
855,59200,731025
860,59641,739600
865,60802,748225
870,61435,756900
875,62272,765625
880,62459,774400
885,63460,783225
890,63973,792100
895,64872,801025
900,65105,810000
905,66958,819025
910,66667,828100
915,67766,837225
920,68391,846400
925,69634,855625
930,70015,864900
935,70468,874225
940,72147,883600
945,73204,893025
950,73547,902500
955,73774,912025
960,74953,921600
965,74882,931225
970,76113,940900
975,76824,950625
980,77833,960400
985,78534,970225
990,79563,980100
995,79820,990025
